State,Division,Votes For,Votes Against
WA,Brand,32556,37345
WA,Burt,33093,39329
SA,Kingston,40049,42908
SA,Port Adelaide,39462,46063
NSW,Barton,35574,44969
NSW,Cunningham,40539,48011
NSW,Fowler,45709,37033
NSW,Greenway,38408,45233
NSW,Hunter,44629,47951
NSW,Kingsford Smith,38377,45305
NSW,Macarthur,41551,43096
NSW,McMahon,39300,42088
NSW,Newcastle,40861,49896
NSW,Paterson,41115,51203
NSW,Shortland,43731,45907
NSW,Watson,39615,39505
NSW,Werriwa,41141,44954
NSW,Whitlam,47078,46471
VIC,Calwell,41886,35911
VIC,Corio,36720,46536
VIC,Gellibrand,36023,42635
VIC,Holt,43233,40676
VIC,Hotham,32378,40133
VIC,Lalor,46525,46671
VIC,Maribyrnong,37262,39447
VIC,Scullin,44131,36090
QLD,Oxley,31831,39317
QLD,Rankin,34972,39026
ACT,Fenner,50876,62520
TAS,Franklin,28056,33196
